Benchmark,Successful,Time Taken,Program Found,Program Length
src\main\resources\cvcSolvableMIBenchmarks\diff.sl,TRUE,15,(ite (<= y x) (- x y) (- y x)),30
src\main\resources\cvcSolvableMIBenchmarks\large.sl,TRUE,0,(ite (<= y x) y x),18
src\main\resources\cvcSolvableMIBenchmarks\small.sl,TRUE,0,(ite (<= x y) y x),18
src\main\resources\MIBenchmarks\distinctInterchange.sl,FALSE,3600,,0
src\main\resources\MIBenchmarks\distinctOne.sl,FALSE,3600,,0
src\main\resources\MIBenchmarks\distincts.sl,FALSE,3600,,0
src\main\resources\MIBenchmarks\eqExampleEasy.sl,FALSE,3600,,0
src\main\resources\MIBenchmarks\eqSub.sl,FALSE,3600,,0
src\main\resources\MIBenchmarks\fullEqExample.sl,FALSE,3600,,0
src\main\resources\MIBenchmarks\inequalEqExample.sl,FALSE,3600,,0
src\main\resources\MIBenchmarks\inequalEqExample2.sl,FALSE,3600,,0
src\main\resources\MIBenchmarks\large_linear_func.sl,FALSE,3600,,0
src\main\resources\MIBenchmarks\linearSymmetry10.sl,FALSE,3600,,0
src\main\resources\MIBenchmarks\linearSymmetry11.sl,FALSE,3600,,0
src\main\resources\MIBenchmarks\linearSymmetry12.sl,FALSE,3600,,0
src\main\resources\MIBenchmarks\linearSymmetry13.sl,FALSE,3600,,0
src\main\resources\MIBenchmarks\linearSymmetry14.sl,FALSE,3600,,0
src\main\resources\MIBenchmarks\linearSymmetry15.sl,FALSE,3600,,0
src\main\resources\MIBenchmarks\linearSymmetry2.sl,FALSE,3600,,0
src\main\resources\MIBenchmarks\linearSymmetry3.sl,FALSE,3600,,0
src\main\resources\MIBenchmarks\linearSymmetry4.sl,FALSE,3600,,0
src\main\resources\MIBenchmarks\linearSymmetry5.sl,FALSE,3600,,0
src\main\resources\MIBenchmarks\linearSymmetry6.sl,FALSE,3600,,0
src\main\resources\MIBenchmarks\linearSymmetry7.sl,FALSE,3600,,0
src\main\resources\MIBenchmarks\linearSymmetry8.sl,FALSE,3600,,0
src\main\resources\MIBenchmarks\linearSymmetry9.sl,FALSE,3600,,0
src\main\resources\MIBenchmarks\mi_explainer.sl,FALSE,3600,,0
src\main\resources\MIBenchmarks\multiDistinct.sl,FALSE,3600,,0
src\main\resources\MIBenchmarks\simpleDistinct.sl,FALSE,3600,,0
src\main\resources\MIBenchmarks\smallOrLarge.sl,FALSE,3600,,0
src\main\resources\MIBenchmarks\small_linear_func.sl,FALSE,3600,,0
